station_key,station_id,station_name,total_start_count,total_end_count
2267d02c97ff6c8d73f5e2f61495ffb7,1021,"Bouverie Street, Temple",3264,3418
68a31225b2b9a67a07ac0236a35439aa,27,"Bouverie Street, Temple",118901,129132
1021cd39ef7e1286544a9e5b09bd7093,200252,"Bow Church Station, Bow",3212,3196
c14fe2048e66afa80f061bc16b11c362,495,"Bow Church Station, Bow",95334,92583
5590488a13852629cc2101839c77165b,498,"Bow Road Station, Bow",84932,79496
de1fc9dabf90d903703a3fd3eaf9f0f1,200251,"Bow Road Station, Bow",2514,2346
e7b11fc7de66a711a3e4f1cc850dabfe,614,"Bradmead, Battersea Park",83731,81521
adf1e990c199ba1c3229fa7c11379934,200025,"Bradmead, Battersea Park",6643,6543
a49b31576dc4c029ed6959232d7227bc,614,"Bradmead, Nine Elms",83731,81521
dfee8e4552aa89078ebee008cd66712b,1062,"Braham Street, Aldgate",5950,5988
b77bcd68b76f8ff6479bd3704017f6e7,115,"Braham Street, Aldgate",156015,158964
1e5e6b1a4ef86048006df75763ef9e67,1183,"Bramham Gardens, Earl's Court",4911,4154
8a23adf4546cbe94e5678e430ea086cc,219,"Bramham Gardens, Earl's Court",138257,129356
14e6cbde54c56cb53ba9280eca0fa6a9,300060,"Brandon Street, Walworth",1722,1717
c72de4cc72fe2902d301c6a75638121a,850,"Brandon Street, Walworth",276,280
dc5bd8f7bc6b10e13768a94ffb8d2511,84,"Breams Buildings, Holborn",65497,65882
46f5e1755bb376c338833c5a8f46127b,3449,"Breams Buildings, Holborn",2359,2430
71acbde04b714c623f839f0847d3c8ca,2687,"Brick Lane Market, Shoreditch",2797,2879
1fb0b09a71db965f0d4a8008ac007f8d,399,"Brick Lane Market, Shoreditch",124185,123478
1f6eb5a84452ba70cee3941338cbfa83,1070,"Bricklayers Arms, Borough",3817,3738
a6d6913fc5a345d05d9c9e377414c4d4,94,"Bricklayers Arms, Borough",136075,130009
db29b7c01bb1589e2e0d9733c14bba33,300082,"Bridge Avenue, Hammersmith",3443,3547
9d2d67ffc76996bb26f1dbee69a324cc,730,"Bridge Avenue, Hammersmith",95727,99166
2430ca23cbdedd845ef06680f585c43e,981,"British Museum, Bloomsbury",3341,3339
0d29544dddb24b71e064a98f17552021,24,"British Museum, Bloomsbury",153670,153945
cad238b343c8cd2865321485b2389da7,6,"Broadcasting House, Marylebone",116012,120015
0c944deee0a2d42a802b5fc983706e95,3424,"Broadcasting House, Marylebone",3517,3639
94452592a65f7a0b360ad99eb47366df,759,"Broadley Terrace, Marylebone",38887,32861
22ef8e9293d4a4765dc47795f03603b8,300072,"Broadley Terrace, Marylebone",1656,1389
4eb85821e3d7f7dc8bcb37ff9f72a383,260,"Broadwick Street, Soho",115553,120863
7fca44915d02e2a193b91b9bd7caa7b5,3489,"Broadwick Street, Soho",3930,4188
f7ff15d72759fa5dfacbf83adf626832,22172,"Bromley High Street, Bow",1772,1734
a6d9657de2e981d6766b9eb2f62be496,484,"Bromley High Street, Bow",41275,40674
ae7331b72850cb73f43edec1d086193f,484,"Bromley High Street, Bromley",41275,40674
c815591f3320a8e63861df8a16ce5e6f,300002,"Brook Green South, Brook Green",2287,2270
039e0b194f6692369cd3c5e0d1e8c257,634,"Brook Green South, Brook Green",68408,67829
143c02430a8b7deda4be49feff055abe,200040,"Broomhouse Lane, Parsons Green",1137,1131
f12ea6e74ff66062d21fd1ec2c5f6b18,656,"Broomhouse Lane, Parsons Green",34584,33552
be6d7570b33caa30ff2c27d80ba5fdcd,1022,"Brunswick Square, Bloomsbury",3660,3632
c2bbe3c65f3821fb9f400cf84fe3906e,11,"Brunswick Square, Bloomsbury",109702,107111
b35a2c5d04cd1499c1a1501942dbe4c0,251,"Brushfield Street, Liverpool Street",315422,369162
42b9230a832007944f42e4c771c71ee1,1161,"Brushfield Street, Liverpool Street",8975,10907
2519e3c434d14497e7ccbc9650ab3b9f,44,"Bruton Street, Mayfair",67139,75050
a4b4aadcfd0ffe25df620dab8ed9c36a,1034,"Bruton Street, Mayfair",2113,2169
5ed03390578a161bd96babfe9b4cd241,646,"Buckingham Gate, Westminster",128433,141791
bb53ef2619dd77021a47a95162f2a810,200178,"Buckingham Gate, Westminster",2803,3039
8903e8042b7933e0a30c459c5ce1fbcf,1211,"Bunhill Row, Moorgate",5164,5667
6d3d1236100f1b1ec8e64033ca66242c,331,"Bunhill Row, Moorgate",151848,173407
